code,school_rating_mean_1500,school_rating_std_1500,school_count_1500,school_rating_mean_1000,school_rating_std_1000,school_count_1000,school_rating_mean_500,school_rating_std_500,school_count_500,school_min
BR1 5SP,3.8421052631578947,1.5097151274601017,19,4.533333333333333,0.43301270189221935,9,4.1,0.4242640687119289,2,0.3635261135885094
CR4 1TL,3.6368421052631574,1.476937720162826,19,2.9499999999999997,1.926506831399404,8,2.2,3.111269837220809,2,0.3578870403059917
CR4 1TN,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.4386540397636388
CR4 1WD,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WF,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WG,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WL,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WP,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WU,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WX,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
CR4 1WY,3.6000000000000005,1.5107458228227775,18,2.9499999999999997,1.926506831399404,8,4.4,0.0,1,0.434725924964692
SE1 7AA,3.125,2.0379786904816113,36,3.25,2.0283516771792285,20,2.6166666666666667,2.112265766106781,6,0.23650319416567003
SE1 7AB,3.1342105263157896,1.9837551499671873,38,3.061111111111111,2.054303628652009,18,2.6166666666666667,2.112265766106781,6,0.3319155053896013
SE1 7AD,3.0837837837837836,1.999654624833653,37,3.061111111111111,2.054303628652009,18,2.7249999999999996,1.8839232114570559,4,0.24656536787808594
SE1 7AE,3.0555555555555554,2.0205295549780216,36,3.241176470588235,1.9656610922058169,17,2.7249999999999996,1.8839232114570559,4,0.19417652586669087
SE1 7AF,2.8875,2.0756266057390027,32,3.276923076923077,1.965601623826594,13,2.6,2.2869193252058544,3,0.33514119297255784
SE1 7AG,3.5666666666666673,1.7003611587469993,39,3.526315789473684,1.7249290179480037,19,3.5500000000000003,1.9201562436426887,6,0.3437039827359481
SE1 7AH,3.4461538461538463,1.780722229860409,39,3.6842105263157894,1.5078546783407716,19,3.233333333333333,2.804163571073081,3,0.14559636262715991
SE1 7AJ,3.1457142857142855,1.9812863998723982,35,2.95,2.0719937004578086,20,4.26,0.8905054744357274,5,0.19736868989731393
SE1 7AL,3.1457142857142855,1.9812863998723982,35,2.95,2.0719937004578086,20,4.26,0.8905054744357274,5,0.19736868989731393
SE1 7AN,3.1666666666666665,1.964833689799579,36,2.8095238095238093,2.119647320170212,21,3.5499999999999994,1.9128512749296533,6,0.1825818720943162
SE1 7AP,3.6500000000000004,1.6650276493712444,42,3.8083333333333336,1.6298617350445157,24,3.8666666666666667,1.0263202878893767,3,0.3323440360228732
SE1 7AQ,3.6500000000000004,1.6650276493712444,42,3.8083333333333336,1.6298617350445157,24,3.8666666666666667,1.0263202878893767,3,0.3323440360228732
SE1 7AR,3.1142857142857143,1.9678508517644107,35,2.95,2.0719937004578086,20,4.26,0.8905054744357274,5,0.16248320006172634
SE1 7AS,3.6500000000000004,1.6650276493712444,42,3.8083333333333336,1.6298617350445157,24,3.8666666666666667,1.0263202878893767,3,0.3323440360228732
SE1 7AT,3.1666666666666665,1.964833689799579,36,3.0476190476190474,2.068482305367645,21,4.05,0.9481561052906848,6,0.14562572919337324
SE1 7AU,3.213888888888889,1.9761655190621459,36,3.0428571428571427,2.0638729196758767,21,3.575,1.654215394508397,8,0.23731464388968554
SE1 7AW,2.971428571428571,2.0167783611451195,35,3.2529411764705882,1.9710776389639066,17,2.6,2.2869193252058544,3,0.2135358879827348
SE1 7AX,3.213888888888889,1.9761655190621459,36,3.0428571428571427,2.0638729196758767,21,3.575,1.654215394508397,8,0.23731464388968554
SE1 7AY,3.110810810810811,2.005794908063437,37,3.0952380952380953,2.100351444514987,21,3.6714285714285713,1.781117894015147,7,0.30821266736736713
SE1 7AZ,3.1605263157894736,2.002098827606914,38,3.0,2.107879952638869,20,3.3857142857142857,1.6905902040693475,7,0.2721800173524188
SE1 7BA,3.1666666666666665,1.9759519136133552,39,3.0952380952380953,2.100351444514987,21,3.5875000000000004,1.6659939118393303,8,0.3129215924072122
SE1 7BB,3.2162162162162162,1.9470081768808372,37,2.9956521739130433,2.1130499845375526,23,3.255555555555555,2.0162534011819493,9,0.2504212021034121
SE1 7BD,3.1666666666666665,1.964833689799579,36,2.9045454545454543,2.1160334124482536,22,3.471428571428571,1.7585166909588754,7,0.18610250059111821
