code,university_rating_mean_1500,university_rating_std_1500,university_count_1500,university_rating_mean_1000,university_rating_std_1000,university_count_1000,university_rating_mean_500,university_rating_std_500,university_count_500
BR1 5SP,2.98,2.7206616842231597,5,2.475,2.8581754086596343,4,0.0,0.0,0
CR4 1TL,4.95,0.0707106781186545,2,5.0,0.0,1,0.0,0.0,0
CR4 1TN,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WD,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WF,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WG,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WL,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WP,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WU,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WX,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
CR4 1WY,5.0,0.0,1,5.0,0.0,1,0.0,0.0,0
SE1 7AA,3.2365853658536587,1.9223366117255551,41,2.884210526315789,2.051628934907506,19,2.8333333333333335,2.1615966321217286,9
SE1 7AB,3.341666666666667,1.880026595556563,36,2.884210526315789,2.051628934907506,19,2.625,2.212141819271863,8
SE1 7AD,3.341666666666667,1.880026595556563,36,2.9823529411764707,2.028002494487386,17,1.95,2.1482551058940835,6
SE1 7AE,3.2942857142857145,1.8855398442360427,35,2.875,2.0440156555173448,16,1.54,2.1232051243344343,5
SE1 7AF,3.34375,1.8470442822642776,32,3.55625,1.8040579258992766,16,3.4,1.981161275615895,5
SE1 7AG,2.5999999999999996,2.1143951065651536,16,1.95,2.1482551058940835,6,0.0,0.0,0
SE1 7AH,3.143478260869565,1.9600153262286963,23,1.95,2.1482551058940835,6,0.0,0.0,0
SE1 7AJ,3.4514285714285715,1.8273045769128702,35,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7AL,3.4514285714285715,1.8273045769128702,35,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7AN,3.4285714285714284,1.8187861867952788,35,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7AP,2.8083333333333336,2.1189441338610706,12,4.0,0.0,1,4.0,0.0,1
SE1 7AQ,2.8083333333333336,2.1189441338610706,12,4.0,0.0,1,4.0,0.0,1
SE1 7AR,3.38235294117647,1.8251559648151108,34,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7AS,2.8083333333333336,2.1189441338610706,12,4.0,0.0,1,4.0,0.0,1
SE1 7AT,3.3848484848484848,1.8533957369044953,33,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7AU,3.2763157894736845,1.9189572352073834,38,2.925,2.0052234420711272,20,2.0,2.2081666603768837,6
SE1 7AW,3.34375,1.8470442822642776,32,2.9769230769230766,2.0980760417399265,13,2.8333333333333335,2.250925735484551,6
SE1 7AX,3.2763157894736845,1.9189572352073834,38,2.925,2.0052234420711272,20,2.0,2.2081666603768837,6
SE1 7AY,3.27948717948718,1.886960726333764,39,2.925,2.0052234420711272,20,2.2857142857142856,2.1528497171799765,7
SE1 7AZ,3.27948717948718,1.886960726333764,39,2.925,2.0052234420711272,20,2.0,2.2081666603768837,6
SE1 7BA,3.27948717948718,1.886960726333764,39,2.925,2.0052234420711272,20,2.6,2.1823971093403562,8
SE1 7BB,3.3351351351351353,1.8480043614992148,37,2.925,2.0052234420711272,20,2.0,2.150747378404606,8
SE1 7BD,3.2852941176470587,1.9151916357854455,34,2.925,2.0052234420711272,20,2.2857142857142856,2.1528497171799765,7
SE1 7BE,3.3146341463414637,1.8525065419060949,41,3.0190476190476194,2.0014042689119678,21,2.1625,2.3225217206427033,8
SE1 7BF,3.335483870967742,1.8778619734681912,31,3.5066666666666664,1.8502766845863376,15,2.8333333333333335,2.565800719723442,3
SE1 7BG,3.3351351351351353,1.8480043614992148,37,2.925,2.0052234420711272,20,1.7777777777777777,2.119420780412527,9
SE1 7BH,3.390909090909091,1.8422750263539025,33,2.875,2.0440156555173448,16,1.54,2.1232051243344343,5
SE1 7BJ,3.1888888888888887,1.9772423168360471,27,2.755555555555555,2.046869122004233,18,1.54,2.1232051243344343,5
SE1 7BL,3.1785714285714284,1.9410491899155875,28,2.8473684210526313,2.029057915238452,19,1.54,2.1232051243344343,5
SE1 7BN,3.217241379310345,1.9174143611938226,29,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7BQ,3.3057142857142856,1.8720769933171988,35,3.55625,1.8040579258992766,16,3.4,1.981161275615895,5
SE1 7BT,3.143478260869565,1.9600153262286963,23,1.95,2.1482551058940835,6,0.0,0.0,0
SE1 7BU,3.1888888888888887,1.9772423168360471,27,2.8473684210526313,2.029057915238452,19,1.54,2.1232051243344343,5
SE1 7BW,3.1785714285714284,1.9410491899155875,28,2.8473684210526313,2.029057915238452,19,1.54,2.1232051243344343,5
SE1 7BX,3.1785714285714284,1.9410491899155875,28,2.8473684210526313,2.029057915238452,19,1.54,2.1232051243344343,5
SE1 7BY,3.3115384615384613,1.9087853568333812,26,2.755555555555555,2.046869122004233,18,1.54,2.1232051243344343,5
SE1 7BZ,3.3115384615384613,1.9087853568333812,26,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
SE1 7DA,3.3115384615384613,1.9087853568333812,26,2.5999999999999996,2.109660320209551,16,1.54,2.1232051243344343,5
SE1 7DB,3.3645161290322583,1.9011484927269227,31,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
SE1 7DD,3.344444444444445,1.879511665982444,27,2.1307692307692307,2.062516511200422,13,1.54,2.1232051243344343,5
SE1 7DE,3.344444444444445,1.879511665982444,27,1.7636363636363634,2.0338499095423574,11,1.54,2.1232051243344343,5
SE1 7DF,3.3115384615384613,1.9087853568333812,26,2.2714285714285714,2.050301505568452,14,1.54,2.1232051243344343,5
SE1 7DG,3.3115384615384613,1.9087853568333812,26,2.1384615384615384,2.0702409125262298,13,1.4000000000000001,2.4248711305964283,3
SE1 7DH,3.3057142857142856,1.8720769933171988,35,3.55625,1.8040579258992766,16,3.4,1.981161275615895,5
SE1 7DJ,3.3645161290322583,1.9011484927269227,31,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
SE1 7DL,3.424137931034483,1.835494322755316,29,2.664705882352941,2.069704440394385,17,1.54,2.1232051243344343,5
SE1 7DN,3.3645161290322583,1.9011484927269227,31,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
SE1 7DP,3.296774193548387,1.8782055036599414,31,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7DQ,3.3115384615384613,1.9087853568333812,26,2.3285714285714283,2.1123914888575466,14,1.05,2.1,4
SE1 7DR,3.4433333333333334,1.8066320987489082,30,2.761111111111111,2.0491429740514873,18,1.54,2.1232051243344343,5
SE1 7DT,3.4344827586206894,1.8379483635815554,29,2.761111111111111,2.0491429740514873,18,1.54,2.1232051243344343,5
SE1 7DU,3.3645161290322583,1.9011484927269227,31,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
SE1 7DX,3.2766666666666664,1.9119737650294577,30,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7DY,3.3277777777777775,1.8498820211201286,36,3.6222222222222222,1.7302007892848246,18,3.4,1.981161275615895,5
SE1 7DZ,3.3115384615384613,1.9087853568333812,26,2.744444444444444,2.0362081894663113,18,1.54,2.1232051243344343,5
