code,hospital_rating_mean_1500,hospital_rating_std_1500,hospital_count_1500,hospital_rating_mean_1000,hospital_rating_std_1000,hospital_count_1000,hospital_rating_mean_500,hospital_rating_std_500,hospital_count_500,hospital_min
BR1 5SP,2.05,2.899137802864845,2,0.0,0.0,0,0.0,0.0,0,1.14675515663604
CR4 1TL,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3868999278666025
CR4 1TN,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4045597748081426
CR4 1WD,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WF,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WG,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WL,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WP,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WU,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WX,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
CR4 1WY,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4090521856032334
SE1 7AA,2.7363636363636363,2.002747031203809,22,2.8058823529411767,2.0810065437893552,17,2.066666666666667,2.3551362310207593,6,0.06974389638928279
SE1 7AB,2.7666666666666666,2.0934023343192614,21,3.0866666666666664,2.039911295923942,15,2.644444444444444,2.133138011891818,9,0.16116193317108052
SE1 7AD,2.7666666666666666,2.0934023343192614,21,3.0866666666666664,2.039911295923942,15,3.1333333333333333,2.0285836229131684,12,0.10527383160388465
SE1 7AE,2.9050000000000002,2.0469425209835586,20,3.0866666666666664,2.039911295923942,15,2.963636363636364,2.0363068173891317,11,0.04847406389230608
SE1 7AF,2.563157894736842,2.098997254329841,19,3.0866666666666664,2.039911295923942,15,3.04,2.188962209713899,10,0.1689353092451175
SE1 7AG,2.8,2.0849601491466,18,2.7714285714285714,2.117483474253403,14,1.0,0.0,1,0.44075961755575505
SE1 7AH,2.8,2.0849601491466,18,2.5866666666666664,2.162295957893787,15,3.0666666666666664,2.657693235370353,3,0.3315830441981912
SE1 7AJ,2.7666666666666666,2.0934023343192614,21,3.0214285714285714,2.100614771342527,14,2.963636363636364,2.0363068173891317,11,0.06275603667494116
SE1 7AL,2.7666666666666666,2.0934023343192614,21,3.0214285714285714,2.100614771342527,14,2.963636363636364,2.0363068173891317,11,0.06275603667494116
SE1 7AN,2.7666666666666666,2.0934023343192614,21,2.89375,2.116433714215181,16,2.7600000000000002,2.0249554178905877,10,0.12381589744782454
SE1 7AP,2.676470588235294,2.0786201588327486,17,2.9555555555555553,2.152388853757094,9,1.0,0.0,1,0.46474194947883823
SE1 7AQ,2.676470588235294,2.0786201588327486,17,2.9555555555555553,2.152388853757094,9,1.0,0.0,1,0.46474194947883823
SE1 7AR,2.7666666666666666,2.0934023343192614,21,3.0214285714285714,2.100614771342527,14,2.963636363636364,2.0363068173891317,11,0.10174706778646155
SE1 7AS,2.676470588235294,2.0786201588327486,17,2.9555555555555553,2.152388853757094,9,1.0,0.0,1,0.46474194947883823
SE1 7AT,2.7666666666666666,2.0934023343192614,21,2.82,2.169331694324314,15,2.963636363636364,2.0363068173891317,11,0.12987230918556433
SE1 7AU,2.942857142857143,2.002641113273027,21,2.89375,2.116433714215181,16,1.6833333333333336,1.9312344929258762,6,0.20758962153248486
SE1 7AW,2.563157894736842,2.098997254329841,19,3.0866666666666664,2.039911295923942,15,2.908333333333333,2.22157124303471,12,0.06442634812956102
SE1 7AX,2.942857142857143,2.002641113273027,21,2.89375,2.116433714215181,16,1.6833333333333336,1.9312344929258762,6,0.20758962153248486
SE1 7AY,2.830434782608696,2.0080372104956563,23,2.8058823529411767,2.0810065437893552,17,1.6833333333333336,1.9312344929258762,6,0.18604339200815925
SE1 7AZ,2.9590909090909094,1.9558603248671953,22,2.89375,2.116433714215181,16,1.6833333333333336,1.9312344929258762,6,0.22105816974775036
SE1 7BA,2.830434782608696,2.0080372104956563,23,2.8058823529411767,2.0810065437893552,17,2.0200000000000005,1.952434377898525,5,0.20627603369797073
SE1 7BB,2.9590909090909094,1.9558603248671953,22,2.8058823529411767,2.0810065437893552,17,2.0200000000000005,1.952434377898525,5,0.2854151714715756
SE1 7BD,2.809090909090909,2.0526194857417566,22,2.89375,2.116433714215181,16,1.6833333333333336,1.9312344929258762,6,0.23084330254292101
SE1 7BE,3.0230769230769234,1.9649544915458357,26,2.8058823529411767,2.0810065437893552,17,2.5250000000000004,1.8391574157749522,4,0.22773692804423756
